soil,hzn,trat,method,rep,dp_mm,log10_dp,max_likeli,p2_5,p97_5
BJS,HZN1,REM,CLASSIC,A,1.97076,0.294634,0.158677,0.142137,0.175217
BJS,HZN1,REM,CLASSIC,A,2.01956,0.305258,0.160901,0.144768,0.177035
BJS,HZN1,REM,CLASSIC,A,2.06957,0.315881,0.163089,0.14736,0.178821
BJS,HZN1,REM,CLASSIC,A,2.12082,0.326504,0.165256,0.149937,0.180582
BJS,HZN1,REM,CLASSIC,A,2.17334,0.337127,0.167406,0.152501,0.182323
BJS,HZN1,REM,CLASSIC,A,2.22716,0.347751,0.169542,0.155055,0.184049
BJS,HZN1,REM,CLASSIC,A,2.28231,0.358374,0.171667,0.157601,0.185763
BJS,HZN1,REM,CLASSIC,A,2.33882,0.368997,0.173786,0.160143,0.18747
BJS,HZN1,REM,CLASSIC,A,2.39674,0.379621,0.175902,0.162681,0.189175
BJS,HZN1,REM,CLASSIC,A,2.45609,0.390244,0.178019,0.165219,0.190881
BJS,HZN1,REM,CLASSIC,A,2.51691,0.400867,0.18014,0.167759,0.192594
BJS,HZN1,REM,CLASSIC,A,2.57923,0.411491,0.182268,0.170303,0.194317
BJS,HZN1,REM,CLASSIC,A,2.6431,0.422114,0.184408,0.172855,0.196055
BJS,HZN1,REM,CLASSIC,A,2.70855,0.432737,0.186563,0.175416,0.197812
BJS,HZN1,REM,CLASSIC,A,2.77562,0.44336,0.188736,0.177989,0.199594
BJS,HZN1,REM,CLASSIC,A,2.84435,0.453984,0.190932,0.180576,0.201403
BJS,HZN1,REM,CLASSIC,A,2.91479,0.464607,0.193153,0.18318,0.203245
BJS,HZN1,REM,CLASSIC,A,2.98697,0.47523,0.195404,0.185804,0.205124
BJS,HZN1,REM,CLASSIC,A,3.06093,0.485854,0.197688,0.188449,0.207044
BJS,HZN1,REM,CLASSIC,A,3.13673,0.496477,0.200009,0.191118,0.20901
BJS,HZN1,REM,CLASSIC,A,3.2144,0.5071,0.202369,0.193814,0.211026
BJS,HZN1,REM,CLASSIC,A,3.294,0.517724,0.204774,0.196539,0.213097
BJS,HZN1,REM,CLASSIC,A,3.37557,0.528347,0.207225,0.199295,0.215226
BJS,HZN1,REM,CLASSIC,A,3.45916,0.53897,0.209728,0.202085,0.217419
BJS,HZN1,REM,CLASSIC,A,3.54481,0.549594,0.212286,0.204912,0.219679
BJS,HZN1,REM,CLASSIC,A,3.63259,0.560217,0.214902,0.207777,0.222014
BJS,HZN1,REM,CLASSIC,A,3.72255,0.57084,0.217583,0.210672,0.224452
BJS,HZN1,REM,CLASSIC,A,3.81473,0.581463,0.220328,0.213595,0.226996
BJS,HZN1,REM,CLASSIC,A,3.90919,0.592087,0.223134,0.216546,0.22964
BJS,HZN1,REM,CLASSIC,A,4.00599,0.60271,0.225999,0.219524,0.232377
BJS,HZN1,REM,CLASSIC,A,4.10519,0.613333,0.228919,0.222529,0.235202
BJS,HZN1,REM,CLASSIC,A,4.20685,0.623957,0.231891,0.225561,0.238109
BJS,HZN1,REM,CLASSIC,A,4.31102,0.63458,0.234913,0.228619,0.241092
BJS,HZN1,REM,CLASSIC,A,4.41777,0.645203,0.237981,0.231703,0.244146
BJS,HZN1,REM,CLASSIC,A,4.52717,0.655827,0.241093,0.234812,0.247264
BJS,HZN1,REM,CLASSIC,A,4.63927,0.66645,0.244246,0.237947,0.25044
BJS,HZN1,REM,CLASSIC,A,4.75415,0.677073,0.247437,0.241108,0.253669
BJS,HZN1,REM,CLASSIC,A,4.87188,0.687697,0.250663,0.244293,0.256944
BJS,HZN1,REM,CLASSIC,A,4.99252,0.69832,0.25392,0.247502,0.260261
BJS,HZN1,REM,CLASSIC,A,5.11615,0.708943,0.257208,0.250736,0.263612
BJS,HZN1,REM,CLASSIC,A,5.24284,0.719566,0.260521,0.253993,0.266993
BJS,HZN1,REM,CLASSIC,A,5.37266,0.73019,0.263858,0.257274,0.270396
BJS,HZN1,REM,CLASSIC,A,5.50571,0.740813,0.267215,0.260579,0.273817
BJS,HZN1,REM,CLASSIC,A,5.64204,0.751436,0.27059,0.263906,0.27725
BJS,HZN1,REM,CLASSIC,A,5.78175,0.76206,0.27398,0.267256,0.280688
BJS,HZN1,REM,CLASSIC,A,5.92493,0.772683,0.277381,0.270629,0.284125
BJS,HZN1,REM,CLASSIC,A,6.07164,0.783306,0.280791,0.274023,0.287556
BJS,HZN1,REM,CLASSIC,A,6.22199,0.79393,0.284208,0.277439,0.290976
BJS,HZN1,REM,CLASSIC,A,6.37607,0.804553,0.28763,0.280877,0.294382
BJS,HZN1,REM,CLASSIC,A,6.53396,0.815176,0.291071,0.284338,0.297805
BJS,HZN1,REM,CLASSIC,A,6.69575,0.8258,0.294537,0.287822,0.301251
BJS,HZN1,REM,CLASSIC,A,6.86156,0.836423,0.298026,0.291331,0.30472
BJS,HZN1,REM,CLASSIC,A,7.03147,0.847046,0.301539,0.294865,0.308214
BJS,HZN1,REM,CLASSIC,A,7.20559,0.857669,0.305078,0.298424,0.311732
BJS,HZN1,REM,CLASSIC,A,7.38402,0.868293,0.308642,0.302009,0.315276
BJS,HZN1,REM,CLASSIC,A,7.56687,0.878916,0.312233,0.30562,0.318847
BJS,HZN1,REM,CLASSIC,A,7.75424,0.889539,0.315851,0.309259,0.322444
BJS,HZN1,REM,CLASSIC,A,7.94626,0.900163,0.319497,0.312925,0.326071
BJS,HZN1,REM,CLASSIC,A,8.14303,0.910786,0.323172,0.316619,0.329725
BJS,HZN1,REM,CLASSIC,A,8.34467,0.921409,0.326875,0.320341,0.33341
BJS,HZN1,REM,CLASSIC,A,8.55131,0.932033,0.330609,0.324093,0.337125
BJS,HZN1,REM,CLASSIC,A,8.76306,0.942656,0.334373,0.327875,0.340871
BJS,HZN1,REM,CLASSIC,A,8.98006,0.953279,0.338168,0.331687,0.344649
BJS,HZN1,REM,CLASSIC,A,9.20243,0.963903,0.341994,0.335529,0.34846
